subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
1,1,0,fr,2846,fr_localizer-04_0p82.wav,1500
1,2,0,fr,3577,fr_localizer-20_0p82.wav,5646
1,3,0,fr,3380,fr_localizer-17_0p82.wav,10523
1,4,1,wol,2860,wol3157_22050_1p15_LPF.wav,21903
1,5,1,wol,3411,wol3175_22050_1p15_LPF.wav,26063
1,6,1,wol,3200,wol3178_22050_1p15_LPF.wav,30774
1,7,2,fr,3796,fr_localizer-23_0p82.wav,41974
1,8,2,fr,2846,fr_localizer-04_0p82.wav,47070
1,9,2,fr,3384,fr_localizer-19.wav,51216
1,10,3,wol,3249,wol3186_22050_1p15_LPF.wav,62600
1,11,3,wol,3200,wol3178_22050_1p15_LPF.wav,67149
1,12,3,wol,2754,wol3153_22050_1p15_LPF.wav,71649
1,13,4,fr,3796,fr_localizer-23_0p82.wav,82403
1,14,4,fr,3362,fr_localizer-10_0p82.wav,87499
1,15,4,fr,2719,fr_localizer-01_0p82.wav,92161
1,16,5,wol,3319,wol3187_22050_1p15_LPF.wav,102880
1,17,5,wol,3059,wol3188_22050_1p15_LPF.wav,107499
1,18,5,wol,3411,wol3175_22050_1p15_LPF.wav,111858
1,19,6,fr,3097,fr_localizer-15_0p82.wav,123269
1,20,6,fr,3384,fr_localizer-19.wav,127666
1,21,6,fr,2860,fr_localizer-05_0p82.wav,132350
1,22,7,wol,3122,wol3165_22050_1p15_LPF.wav,143210
1,23,7,wol,2860,wol3157_22050_1p15_LPF.wav,147632
1,24,7,wol,3249,wol3186_22050_1p15_LPF.wav,151792
1,25,8,fr,3709,fr_localizer-18-2_0p82.wav,163041
1,26,8,fr,3458,fr_localizer-13_0p82.wav,168050
1,27,8,fr,3384,fr_localizer-19.wav,172808
1,28,9,wol,3540,wol3201_22050_1p15_LPF.wav,184192
1,29,9,wol,3636,wol3206_22050_1p15_LPF.wav,189032
1,30,9,wol,3098,wol3161_22050_1p15_LPF.wav,193968
1,31,10,fr,3362,fr_localizer-10_0p82.wav,205066
1,32,10,fr,2728,fr_localizer-07-2_0p82.wav,209728
1,33,10,fr,3097,fr_localizer-15_0p82.wav,213756
1,34,11,wol,2754,wol3153_22050_1p15_LPF.wav,224853
1,35,11,wol,3540,wol3201_22050_1p15_LPF.wav,228907
1,36,11,wol,2467,wol3156_22050_1p15_LPF.wav,233747
1,37,12,fr,3577,fr_localizer-20_0p82.wav,244214
1,38,12,fr,3380,fr_localizer-17_0p82.wav,249091
1,39,12,fr,3384,fr_localizer-19.wav,253771
1,40,13,wol,2860,wol3157_22050_1p15_LPF.wav,265155
1,41,13,wol,3059,wol3188_22050_1p15_LPF.wav,269315
1,42,13,wol,3411,wol3175_22050_1p15_LPF.wav,273674
1,43,14,fr,3225,fr_localizer-11_0p82.wav,285085
1,44,14,fr,2719,fr_localizer-01_0p82.wav,289610
1,45,14,fr,2792,fr_localizer-06_0p82.wav,293629
1,46,15,wol,3411,wol3175_22050_1p15_LPF.wav,304421
1,47,15,wol,2869,wol3154_22050_1p15_LPF.wav,309132
1,48,15,wol,3540,wol3201_22050_1p15_LPF.wav,313301
1,49,16,,4000,silent-1sec.wav,316846
