subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
3,1,0,fr,4238,fr_localizer-22_0p82.wav,1500
3,2,0,fr,3225,fr_localizer-11_0p82.wav,7038
3,3,0,fr,3577,fr_localizer-20_0p82.wav,11563
3,4,1,wol,2729,wol3158_22050_1p15_LPF.wav,23140
3,5,1,wol,3494,wol3184_22050_1p15_LPF.wav,27169
3,6,1,wol,2754,wol3153_22050_1p15_LPF.wav,31963
3,7,2,fr,3545,fr_localizer-02_0p82.wav,42717
3,8,2,fr,2792,fr_localizer-06_0p82.wav,47562
3,9,2,fr,3047,fr_localizer-03-2_0p82.wav,51654
3,10,3,wol,3496,wol3192_22050_1p15_LPF.wav,62701
3,11,3,wol,2994,wol3173_22050_1p15_LPF.wav,67497
3,12,3,wol,3059,wol3188_22050_1p15_LPF.wav,71791
3,13,4,fr,3225,fr_localizer-11_0p82.wav,82850
3,14,4,fr,2846,fr_localizer-04_0p82.wav,87375
3,15,4,fr,3458,fr_localizer-13_0p82.wav,91521
3,16,5,wol,2881,wol3162_22050_1p15_LPF.wav,102979
3,17,5,wol,3540,wol3201_22050_1p15_LPF.wav,107160
3,18,5,wol,2467,wol3156_22050_1p15_LPF.wav,112000
3,19,6,fr,2860,fr_localizer-05_0p82.wav,122467
3,20,6,fr,3577,fr_localizer-20_0p82.wav,126627
3,21,6,fr,3458,fr_localizer-13_0p82.wav,131504
3,22,7,wol,2860,wol3157_22050_1p15_LPF.wav,142962
3,23,7,wol,3200,wol3168_22050_1p15_LPF.wav,147122
3,24,7,wol,4198,wol3214_22050_1p15_LPF.wav,151622
3,25,8,fr,3796,fr_localizer-23_0p82.wav,163820
3,26,8,fr,2719,fr_localizer-01_0p82.wav,168916
3,27,8,fr,3545,fr_localizer-02_0p82.wav,172935
3,28,9,wol,3200,wol3168_22050_1p15_LPF.wav,184480
3,29,9,wol,3496,wol3192_22050_1p15_LPF.wav,188980
3,30,9,wol,3200,wol3178_22050_1p15_LPF.wav,193776
3,31,10,fr,3065,fr_localizer-16_0p82.wav,204976
3,32,10,fr,2792,fr_localizer-06_0p82.wav,209341
3,33,10,fr,2719,fr_localizer-01_0p82.wav,213433
3,34,11,wol,2881,wol3162_22050_1p15_LPF.wav,224152
3,35,11,wol,4198,wol3214_22050_1p15_LPF.wav,228333
3,36,11,wol,3200,wol3168_22050_1p15_LPF.wav,233831
3,37,12,fr,3047,fr_localizer-03-2_0p82.wav,245031
3,38,12,fr,2719,fr_localizer-01_0p82.wav,249378
3,39,12,fr,2792,fr_localizer-06_0p82.wav,253397
3,40,13,wol,2729,wol3158_22050_1p15_LPF.wav,264189
3,41,13,wol,2994,wol3173_22050_1p15_LPF.wav,268218
3,42,13,wol,2860,wol3157_22050_1p15_LPF.wav,272512
3,43,14,fr,3362,fr_localizer-10_0p82.wav,283372
3,44,14,fr,3458,fr_localizer-13_0p82.wav,288034
3,45,14,fr,3577,fr_localizer-20_0p82.wav,292792
3,46,15,wol,3494,wol3184_22050_1p15_LPF.wav,304369
3,47,15,wol,4198,wol3214_22050_1p15_LPF.wav,309163
3,48,15,wol,2994,wol3173_22050_1p15_LPF.wav,314661
3,49,16,,3000,silent-1sec.wav,317660
