Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,islem,nblettres,puorth,puphon,nbsyll,cgramortho
abattra,abatRa,abattre,VER,43.47,1.51,0,7,0,0,3,VER
abattrai,abatRE,abattre,VER,43.47,0.39,0,8,0,0,3,VER
abattraient,abatRE,abattre,VER,43.47,0.03,0,11,0,0,3,VER
abattrais,abatRE,abattre,VER,43.47,0.1,0,9,0,0,3,VER
abattrait,abatRE,abattre,VER,43.47,0.63,0,9,0,0,3,VER
abattras,abatRa,abattre,VER,43.47,0.03,0,8,0,0,3,VER
abattre,abatR,abattre,VER,43.47,14.43,1,7,6,5,2,VER
abattrez,abatRe,abattre,VER,43.47,0.26,0,8,0,0,3,VER
abattriez,abatRie,abattre,VER,43.47,0.02,0,9,0,0,4,VER
abattrons,abatR§,abattre,VER,43.47,0.11,0,9,0,0,3,VER
abattront,abatR§,abattre,VER,43.47,0.34,0,9,0,0,3,VER
abattu,abaty,abattre,VER,43.47,11.48,0,6,6,5,3,"VER,ADJ,NOM"
abattue,abaty,abattre,VER,43.47,2.19,0,7,0,5,3,"VER,ADJ"
abattues,abaty,abattre,VER,43.47,0.44,0,8,0,5,3,"VER,ADJ"
abattus,abaty,abattre,VER,43.47,2.42,0,7,0,5,3,"VER,ADJ,NOM"
abdiqua,abdika,abdiquer,VER,0.47,0,0,7,0,0,3,VER
abdiquai,abdikE,abdiquer,VER,0.47,0,0,8,0,0,3,VER
abdiquaient,abdikE,abdiquer,VER,0.47,0,0,11,0,0,3,VER
abdiquais,abdikE,abdiquer,VER,0.47,0,0,9,0,0,3,VER
abdiquait,abdikE,abdiquer,VER,0.47,0,0,9,0,0,3,VER
abdiquant,abdik@,abdiquer,VER,0.47,0,0,9,0,0,3,VER
abdique,abdik,abdiquer,VER,0.47,0.23,0,7,0,0,2,VER
abdiquer,abdike,abdiquer,VER,0.47,0.08,1,8,5,6,3,VER
abdiquera,abdik°Ra,abdiquer,VER,0.47,0.01,0,9,0,0,4,VER
abdiquerais,abdik°RE,abdiquer,VER,0.47,0,0,11,0,0,4,VER
abdiquerait,abdik°RE,abdiquer,VER,0.47,0,0,11,0,0,4,VER
abdiquez,abdike,abdiquer,VER,0.47,0.03,0,8,0,6,3,VER
abdiqué,abdike,abdiquer,VER,0.47,0.11,0,7,0,6,3,VER
abdiquée,abdike,abdiquer,VER,0.47,0,0,8,0,6,3,VER
aberrant,abER@,aberrer,VER,0,0,0,8,7,5,3,"ADJ,VER"
abhorrais,abORE,abhorrer,VER,0.27,0.01,0,9,0,0,3,VER
abhorrait,abORE,abhorrer,VER,0.27,0.01,0,9,0,0,3,VER
abhorrant,abOR@,abhorrer,VER,0.27,0.01,0,9,0,0,3,VER
abhorre,abOR,abhorrer,VER,0.27,0.2,0,7,0,4,2,VER
abhorrer,abORe,abhorrer,VER,0.27,0,1,8,7,5,3,VER
abhorrez,abORe,abhorrer,VER,0.27,0.03,0,8,0,5,3,VER
abhorré,abORe,abhorrer,VER,0.27,0.01,0,7,7,5,3,"VER,ADJ"
abhorrée,abORe,abhorrer,VER,0.27,0,0,8,0,5,3,"VER,ADJ"
abhorrés,abORe,abhorrer,VER,0.27,0,0,8,0,5,3,VER
abjurant,abZyR@,abjurer,VER,1.53,0.14,0,8,0,0,3,VER
abjure,abZyR,abjurer,VER,1.53,0.77,0,6,0,0,2,VER
abjurer,abZyRe,abjurer,VER,1.53,0.22,1,7,6,6,3,VER
abjurez,abZyRe,abjurer,VER,1.53,0.4,0,7,0,6,3,VER
abjurons,abZyR§,abjurer,VER,1.53,0,0,8,0,0,3,VER
abjuré,abZyRe,abjurer,VER,1.53,0,0,6,0,6,3,VER
aboie,abwa,aboyer,VER,7.43,2.91,0,5,0,4,2,VER
aboient,abwa,aboyer,VER,7.43,0.54,0,7,0,4,2,VER
aboiera,abwaRa,aboyer,VER,7.43,0.21,0,7,0,0,3,VER
aboierait,abwaRE,aboyer,VER,7.43,0.01,0,9,0,0,3,VER
aboieront,abwaR§,aboyer,VER,7.43,0.01,0,9,0,0,3,VER
aboies,abwa,aboyer,VER,7.43,0.42,0,6,0,4,2,VER
aboli,aboli,abolir,VER,3.08,1.1,0,5,5,5,3,"ADJ,VER"
abolie,aboli,abolir,VER,3.08,0.06,0,6,0,5,3,"ADJ,VER"
abolies,aboli,abolir,VER,3.08,0.11,0,7,0,5,3,"ADJ,VER"
abolir,aboliR,abolir,VER,3.08,1.08,1,6,6,6,3,VER
abolira,aboliRa,abolir,VER,3.08,0.01,0,7,0,0,4,VER
abolirait,aboliRE,abolir,VER,3.08,0,0,9,0,0,4,VER
aboliras,aboliRa,abolir,VER,3.08,0.01,0,8,0,0,4,VER
abolis,aboli,abolir,VER,3.08,0.14,0,6,0,5,3,"ADJ,VER"
abolissaient,abolisE,abolir,VER,3.08,0,0,12,0,0,4,VER
abolissais,abolisE,abolir,VER,3.08,0,0,10,0,0,4,VER
abolissait,abolisE,abolir,VER,3.08,0,0,10,0,0,4,VER
abolissant,abolis@,abolir,VER,3.08,0.25,0,10,0,0,4,VER
abolissent,abolis,abolir,VER,3.08,0,0,10,0,0,3,VER
abolissions,abolisj§,abolir,VER,3.08,0,0,11,0,8,4,VER
abolissons,abolis§,abolir,VER,3.08,0.02,0,10,0,0,4,VER
abolit,aboli,abolir,VER,3.08,0.29,0,6,0,5,3,VER
abominaient,abominE,abominer,VER,0,0,0,11,0,0,4,VER
abomine,abomin,abominer,VER,0,0,0,7,0,0,3,VER
abominer,abomine,abominer,VER,0,0,1,8,7,7,4,VER
abonda,ab§da,abonder,VER,1.13,0,0,6,0,0,3,VER
abondai,ab§dE,abonder,VER,1.13,0,0,7,0,0,3,VER
abondaient,ab§dE,abonder,VER,1.13,0.12,0,10,0,0,3,VER
abondais,ab§dE,abonder,VER,1.13,0.01,0,8,0,0,3,VER
abondait,ab§dE,abonder,VER,1.13,0.02,0,8,0,0,3,VER
abondant,ab§d@,abonder,VER,1.13,0.02,0,8,8,5,3,"ADJ,VER"
abondassent,ab§das,abonder,VER,1.13,0,0,11,0,0,3,VER
abonde,ab§d,abonder,VER,1.13,0.28,0,6,0,0,2,VER
abondent,ab§d,abonder,VER,1.13,0.63,0,8,0,0,2,VER
abonder,ab§de,abonder,VER,1.13,0.03,1,7,6,5,3,VER
abondé,ab§de,abonder,VER,1.13,0.01,0,6,0,5,3,VER
abonnai,abonE,abonner,VER,1.1,0,0,7,0,0,3,VER
abonnant,abOn@,abonner,VER,1.1,0.01,0,8,0,0,3,VER
abonne,abOn,abonner,VER,1.1,0.18,0,6,0,0,2,VER
abonner,abone,abonner,VER,1.1,0.27,1,7,7,4,3,VER
abonnez,abone,abonner,VER,1.1,0.03,0,7,0,4,3,VER
abonnât,abona,abonner,VER,1.1,0,0,7,0,0,3,VER
abonné,abone,abonner,VER,1.1,0.3,0,6,6,4,3,"VER,ADJ,NOM"
abonnée,abone,abonner,VER,1.1,0.15,0,7,0,4,3,"VER,ADJ,NOM"
abonnées,abone,abonner,VER,1.1,0.01,0,8,0,4,3,"VER,NOM"
abonnés,abone,abonner,VER,1.1,0.16,0,7,0,4,3,"VER,ADJ,NOM"
aborda,abORda,aborder,VER,12.55,0.16,0,6,0,0,3,VER
abordai,abORdE,aborder,VER,12.55,0,0,7,0,0,3,VER
abordaient,abORdE,aborder,VER,12.55,0.03,0,10,0,0,3,VER
abordais,abORdE,aborder,VER,12.55,0,0,8,0,0,3,VER
abordait,abORdE,aborder,VER,12.55,0.47,0,8,0,0,3,VER
abordant,abORd@,aborder,VER,12.55,0.03,0,8,0,0,3,VER
aborde,abORd,aborder,VER,12.55,1.76,0,6,0,0,2,VER
abordent,abORd,aborder,VER,12.55,0.09,0,8,0,0,2,VER
aborder,abORde,aborder,VER,12.55,5.65,1,7,6,6,3,VER
abordera,abORd°Ra,aborder,VER,12.55,0.2,0,8,0,0,4,VER
aborderai,abORd°RE,aborder,VER,12.55,0.08,0,9,0,0,4,VER
aborderaient,abORd°RE,aborder,VER,12.55,0,0,12,0,0,4,VER
aborderais,abORd°RE,aborder,VER,12.55,0.02,0,10,0,0,4,VER
aborderait,abORd°RE,aborder,VER,12.55,0.02,0,10,0,0,4,VER
aborderiez,abORd°Rje,aborder,VER,12.55,0.01,0,10,0,0,4,VER
aborderions,abORd°Rj§,aborder,VER,12.55,0,0,11,0,0,4,VER
aborderons,abORd°R§,aborder,VER,12.55,0.09,0,10,0,0,4,VER
aborderont,abORd°R§,aborder,VER,12.55,0.04,0,10,0,0,4,VER
abordes,abORd,aborder,VER,12.55,0.36,0,7,0,0,2,VER
abordez,abORde,aborder,VER,12.55,0.75,0,7,0,6,3,VER
abordiez,abORdje,aborder,VER,12.55,0.02,0,8,0,0,3,VER
abordions,abORdj§,aborder,VER,12.55,0.04,0,9,0,0,3,VER
abordons,abORd§,aborder,VER,12.55,0.72,0,8,0,0,3,VER
abordâmes,abORdam,aborder,VER,12.55,0,0,9,0,0,3,VER
abordèrent,abORdER,aborder,VER,12.55,0.01,0,10,0,0,3,VER
abordé,abORde,aborder,VER,12.55,1.36,0,6,6,6,3,"VER,ADJ"
abordée,abORde,aborder,VER,12.55,0.34,0,7,0,6,3,VER
abordées,abORde,aborder,VER,12.55,0.05,0,8,0,6,3,"VER,ADJ"
abordés,abORde,aborder,VER,12.55,0.26,0,7,0,6,3,"VER,ADJ"
abouchaient,abuSE,aboucher,VER,0,0,0,11,0,0,3,VER
abouchais,abuSE,aboucher,VER,0,0,0,9,0,0,3,VER
abouchait,abuSE,aboucher,VER,0,0,0,9,0,0,3,VER
abouchant,abuS@,aboucher,VER,0,0,0,9,0,0,3,VER
aboucher,abuSe,aboucher,VER,0,0,1,8,8,4,3,VER
abouché,abuSe,aboucher,VER,0,0,0,7,0,4,3,VER
abouchée,abuSe,aboucher,VER,0,0,0,8,0,4,3,VER
abouchés,abuSe,aboucher,VER,0,0,0,8,0,4,3,VER
aboule,abul,abouler,VER,1.8,1.43,0,6,0,0,2,VER
abouler,abule,abouler,VER,1.8,0.11,1,7,6,5,3,VER
aboules,abul,abouler,VER,1.8,0.01,0,7,0,0,2,VER
aboulez,abule,abouler,VER,1.8,0.25,0,7,0,5,3,VER
aboutait,abutE,abouter,VER,0,0,0,8,0,0,3,VER
abouti,abuti,aboutir,VER,5.34,1.24,0,6,6,5,3,"ADJ,VER"
aboutie,abuti,aboutir,VER,5.34,0.04,0,7,0,5,3,"ADJ,VER"
aboutir,abutiR,aboutir,VER,5.34,1.34,1,7,7,6,3,VER
aboutira,abutiRa,aboutir,VER,5.34,0.29,0,8,0,0,4,VER
aboutirai,abutiRE,aboutir,VER,5.34,0,0,9,0,0,4,VER
aboutiraient,abutiRE,aboutir,VER,5.34,0.01,0,12,0,0,4,VER
aboutirais,abutiRE,aboutir,VER,5.34,0,0,10,0,0,4,VER
aboutirait,abutiRE,aboutir,VER,5.34,0.05,0,10,0,0,4,VER
aboutiras,abutiRa,aboutir,VER,5.34,0,0,9,0,0,4,VER
aboutirent,abutiR,aboutir,VER,5.34,0,0,10,0,6,3,VER
aboutirons,abutiR§,aboutir,VER,5.34,0.01,0,10,0,0,4,VER
aboutiront,abutiR§,aboutir,VER,5.34,0.04,0,10,0,0,4,VER
aboutis,abuti,aboutir,VER,5.34,0.07,0,7,0,5,3,"ADJ,VER"
aboutissaient,abutisE,aboutir,VER,5.34,0.15,0,13,0,0,4,VER
aboutissait,abutisE,aboutir,VER,5.34,0.03,0,11,0,0,4,VER
aboutissant,abutis@,aboutir,VER,5.34,0,0,11,9,7,4,"VER,NOM"
aboutisse,abutis,aboutir,VER,5.34,0.08,0,9,0,0,3,VER
aboutissent,abutis,aboutir,VER,5.34,0.47,0,11,0,0,3,VER
aboutissez,abutise,aboutir,VER,5.34,0.02,0,10,0,0,4,VER
aboutissiez,abutisje,aboutir,VER,5.34,0,0,11,0,0,4,VER
aboutissions,abutisj§,aboutir,VER,5.34,0,0,12,0,0,4,VER
aboutit,abuti,aboutir,VER,5.34,1.5,0,7,0,5,3,VER
aboutonnai,abutonE,aboutonner,VER,0,0,0,10,0,0,4,VER
aboutons,abut§,abouter,VER,0,0,0,8,0,0,3,VER
aboutîmes,abutim,aboutir,VER,5.34,0,0,9,0,0,3,VER
aboya,abwaja,aboyer,VER,7.43,0,0,5,0,0,3,VER
aboyaient,abwajE,aboyer,VER,7.43,0.05,0,9,0,0,3,VER
aboyait,abwajE,aboyer,VER,7.43,0.33,0,7,0,0,3,VER
aboyant,abwaj@,aboyer,VER,7.43,0.18,0,7,5,6,3,"ADJ,VER"
aboyer,abwaje,aboyer,VER,7.43,2.39,1,6,6,6,3,VER
aboyons,abwaj§,aboyer,VER,7.43,0.1,0,7,0,0,3,VER
aboyèrent,abwajER,aboyer,VER,7.43,0,0,9,0,0,3,VER
aboyé,abwaje,aboyer,VER,7.43,0.28,0,5,0,6,3,VER
abracadabré,abRakadabRe,abracadabrer,VER,0.01,0.01,0,11,0,0,5,VER
abrasé,abRaze,abraser,VER,0,0,0,6,0,0,3,VER
abreuva,abR9va,abreuver,VER,1.13,0,0,7,0,0,3,VER
abreuvaient,abR9vE,abreuver,VER,1.13,0,0,11,0,0,3,VER
abreuvait,abR9vE,abreuver,VER,1.13,0.03,0,9,0,0,3,VER
abreuvant,abR9v@,abreuver,VER,1.13,0.01,0,9,0,0,3,VER
abreuve,abR9v,abreuver,VER,1.13,0.23,0,7,0,0,2,VER
abreuvent,abR9v,abreuver,VER,1.13,0.04,0,9,0,0,2,VER
abreuver,abR9ve,abreuver,VER,1.13,0.48,1,8,7,6,3,VER
